age_group,sex,frequency,ear,n,mean,std,median,q25,q75
18-39,male,500,right,958,7.588726513569937,7.929941292938633,5.0,5.0,10.0
18-39,male,500,left,958,7.687891440501044,8.081590179757486,5.0,5.0,10.0
18-39,male,1000,right,958,6.8736951983298535,7.997630077323358,5.0,0.0,10.0
18-39,male,1000,left,958,7.171189979123174,8.462463979072462,5.0,0.0,10.0
18-39,male,2000,right,958,6.210855949895616,9.537113727043026,5.0,0.0,10.0
18-39,male,2000,left,958,7.118997912317328,10.005141532881737,5.0,0.0,10.0
18-39,male,3000,right,958,8.903966597077245,11.167442459378186,5.0,0.0,15.0
18-39,male,3000,left,958,10.548016701461378,12.150540030042457,10.0,5.0,15.0
18-39,male,4000,right,958,9.88517745302714,12.703407482707801,10.0,0.0,15.0
18-39,male,4000,left,958,11.826722338204593,13.824668481710372,10.0,5.0,15.0
18-39,male,6000,right,957,14.77533960292581,13.840344050863218,10.0,5.0,20.0
18-39,male,6000,left,957,15.689655172413794,14.912395071342983,15.0,5.0,20.0
18-39,male,8000,right,957,14.435736677115987,14.664850592247172,10.0,5.0,20.0
18-39,male,8000,left,957,14.10135841170324,14.612396877454826,10.0,5.0,20.0
18-39,female,500,right,1018,8.069744597249509,8.304199701239625,5.0,5.0,10.0
18-39,female,500,left,1020,8.117647058823529,8.555417818322255,5.0,5.0,10.0
18-39,female,1000,right,1018,6.7239685658153245,8.089314313581074,5.0,0.0,10.0
18-39,female,1000,left,1020,6.446078431372549,8.641368103626922,5.0,0.0,10.0
18-39,female,2000,right,1018,5.201375245579568,8.304298567891019,5.0,0.0,10.0
18-39,female,2000,left,1019,5.819430814524043,9.299680755335194,5.0,0.0,10.0
18-39,female,3000,right,1018,5.947937131630648,8.919515612907746,5.0,0.0,10.0
18-39,female,3000,left,1019,6.570166830225712,9.775864041203782,5.0,0.0,10.0
18-39,female,4000,right,1018,6.404715127701375,9.689945389896753,5.0,0.0,10.0
18-39,female,4000,left,1018,7.328094302554027,10.59361120351862,5.0,0.0,10.0
18-39,female,6000,right,1017,13.308751229105212,11.464643187616119,10.0,5.0,20.0
18-39,female,6000,left,1018,13.948919449901767,12.435688793284331,10.0,5.0,20.0
18-39,female,8000,right,1017,13.294001966568338,12.256088532405801,10.0,5.0,20.0
18-39,female,8000,left,1018,12.509823182711198,13.383475104337126,10.0,5.0,15.0
40-59,male,500,right,794,11.227959697732997,10.628291451887614,10.0,5.0,15.0
40-59,male,500,left,799,10.944931163954944,10.269646308528495,10.0,5.0,15.0
40-59,male,1000,right,795,12.767295597484276,10.979253947158258,10.0,5.0,15.0
40-59,male,1000,left,799,12.966207759699625,10.986440013594963,10.0,5.0,15.0
40-59,male,2000,right,795,13.421383647798741,13.118517901691932,10.0,5.0,20.0
40-59,male,2000,left,799,14.392991239048811,13.947206255897063,10.0,5.0,20.0
40-59,male,3000,right,795,21.735849056603772,17.558987605219734,15.0,10.0,30.0
40-59,male,3000,left,799,23.792240300375468,17.99503941287727,20.0,10.0,35.0
40-59,male,4000,right,795,26.528301886792452,19.306885043555614,20.0,10.0,37.5
40-59,male,4000,left,799,28.285356695869837,19.99532961362655,25.0,15.0,40.0
40-59,male,6000,right,795,31.89308176100629,20.02913218181911,25.0,15.0,42.5
40-59,male,6000,left,798,32.606516290726816,20.17266888095844,30.0,20.0,45.0
40-59,male,8000,right,794,34.068010075566754,21.399942471311302,30.0,20.0,45.0
40-59,male,8000,left,796,34.56030150753769,22.489581250317702,30.0,15.0,50.0
40-59,female,500,right,912,11.25,9.82698853272929,10.0,5.0,15.0
40-59,female,500,left,913,11.527929901423878,10.027021484704745,10.0,5.0,15.0
40-59,female,1000,right,912,11.244517543859649,9.826288838954628,10.0,5.0,15.0
40-59,female,1000,left,913,11.133625410733844,10.565257617804784,10.0,5.0,15.0
40-59,female,2000,right,911,10.938529088913283,10.34156011085128,10.0,5.0,15.0
40-59,female,2000,left,913,11.418400876232202,11.472610922861792,10.0,5.0,15.0
40-59,female,3000,right,912,13.382675438596491,10.869924785524182,10.0,5.0,20.0
40-59,female,3000,left,913,14.397590361445783,12.335259808295605,10.0,5.0,20.0
40-59,female,4000,right,912,15.625,12.336471500753904,15.0,5.0,20.0
40-59,female,4000,left,913,16.5881708652793,13.642809953485168,15.0,10.0,20.0
40-59,female,6000,right,912,23.410087719298247,13.893298386566052,20.0,15.0,30.0
40-59,female,6000,left,913,24.37568455640745,15.437485002377555,20.0,15.0,30.0
40-59,female,8000,right,911,25.53787047200878,16.29354498589483,20.0,15.0,35.0
40-59,female,8000,left,912,25.13157894736842,17.056573088968232,20.0,15.0,30.0
60-79,male,500,right,707,16.874115983026876,13.717185738800852,15.0,10.0,20.0
60-79,male,500,left,706,17.577903682719548,14.899579474167107,15.0,10.0,23.75
60-79,male,1000,right,706,19.575070821529746,14.320174790251194,15.0,10.0,25.0
60-79,male,1000,left,705,20.30496453900709,15.881281533908094,15.0,10.0,25.0
60-79,male,2000,right,706,28.165722379603398,19.305296758988355,25.0,15.0,40.0
60-79,male,2000,left,704,29.879261363636363,20.004079854705683,25.0,15.0,40.0
60-79,male,3000,right,703,40.9103840682788,21.77708073397065,40.0,25.0,55.0
60-79,male,3000,left,700,42.77857142857143,21.815675959174193,40.0,25.0,60.0
60-79,male,4000,right,699,46.68812589413448,22.54279633999595,45.0,30.0,65.0
