Code,Label
SEQN,SEQN - Respondent sequence number
TYXPEAR,TYXPEAR - Ear tested
TYXP001,TYXP001 - Pressure Array Data Point 001
TYXP002,TYXP002 - Pressure Array Data Point 002
TYXP003,TYXP003 - Pressure Array Data Point 003
TYXP004,TYXP004 - Pressure Array Data Point 004
TYXP005,TYXP005 - Pressure Array Data Point 005
TYXP006,TYXP006 - Pressure Array Data Point 006
TYXP007,TYXP007 - Pressure Array Data Point 007
TYXP008,TYXP008 - Pressure Array Data Point 008
TYXP009,TYXP009 - Pressure Array Data Point 009
TYXP010,TYXP010 - Pressure Array Data Point 010
TYXP011,TYXP011 - Pressure Array Data Point 011
TYXP012,TYXP012 - Pressure Array Data Point 012
TYXP013,TYXP013 - Pressure Array Data Point 013
TYXP014,TYXP014 - Pressure Array Data Point 014
TYXP015,TYXP015 - Pressure Array Data Point 015
TYXP016,TYXP016 - Pressure Array Data Point 016
TYXP017,TYXP017 - Pressure Array Data Point 017
TYXP018,TYXP018 - Pressure Array Data Point 018
TYXP019,TYXP019 - Pressure Array Data Point 019
TYXP020,TYXP020 - Pressure Array Data Point 020
TYXP021,TYXP021 - Pressure Array Data Point 021
TYXP022,TYXP022 - Pressure Array Data Point 022
TYXP023,TYXP023 - Pressure Array Data Point 023
TYXP024,TYXP024 - Pressure Array Data Point 024
TYXP025,TYXP025 - Pressure Array Data Point 025
TYXP026,TYXP026 - Pressure Array Data Point 026
TYXP027,TYXP027 - Pressure Array Data Point 027
TYXP028,TYXP028 - Pressure Array Data Point 028
TYXP029,TYXP029 - Pressure Array Data Point 029
TYXP030,TYXP030 - Pressure Array Data Point 030
TYXP031,TYXP031 - Pressure Array Data Point 031
TYXP032,TYXP032 - Pressure Array Data Point 032
TYXP033,TYXP033 - Pressure Array Data Point 033
TYXP034,TYXP034 - Pressure Array Data Point 034
TYXP035,TYXP035 - Pressure Array Data Point 035
TYXP036,TYXP036 - Pressure Array Data Point 036
TYXP037,TYXP037 - Pressure Array Data Point 037
TYXP038,TYXP038 - Pressure Array Data Point 038
TYXP039,TYXP039 - Pressure Array Data Point 039
TYXP040,TYXP040 - Pressure Array Data Point 040
TYXP041,TYXP041 - Pressure Array Data Point 041
TYXP042,TYXP042 - Pressure Array Data Point 042
TYXP043,TYXP043 - Pressure Array Data Point 043
TYXP044,TYXP044 - Pressure Array Data Point 044
TYXP045,TYXP045 - Pressure Array Data Point 045
TYXP046,TYXP046 - Pressure Array Data Point 046
TYXP047,TYXP047 - Pressure Array Data Point 047
TYXP048,TYXP048 - Pressure Array Data Point 048
TYXP049,TYXP049 - Pressure Array Data Point 049
TYXP050,TYXP050 - Pressure Array Data Point 050
TYXP051,TYXP051 - Pressure Array Data Point 051
TYXP052,TYXP052 - Pressure Array Data Point 052
TYXP053,TYXP053 - Pressure Array Data Point 053
TYXP054,TYXP054 - Pressure Array Data Point 054
TYXP055,TYXP055 - Pressure Array Data Point 055
TYXP056,TYXP056 - Pressure Array Data Point 056
TYXP057,TYXP057 - Pressure Array Data Point 057
TYXP058,TYXP058 - Pressure Array Data Point 058
TYXP059,TYXP059 - Pressure Array Data Point 059
TYXP060,TYXP060 - Pressure Array Data Point 060
TYXP061,TYXP061 - Pressure Array Data Point 061
TYXP062,TYXP062 - Pressure Array Data Point 062
TYXP063,TYXP063 - Pressure Array Data Point 063
TYXP064,TYXP064 - Pressure Array Data Point 064
TYXP065,TYXP065 - Pressure Array Data Point 065
TYXP066,TYXP066 - Pressure Array Data Point 066
TYXP067,TYXP067 - Pressure Array Data Point 067
TYXP068,TYXP068 - Pressure Array Data Point 068
TYXP069,TYXP069 - Pressure Array Data Point 069
TYXP070,TYXP070 - Pressure Array Data Point 070
TYXP071,TYXP071 - Pressure Array Data Point 071
TYXP072,TYXP072 - Pressure Array Data Point 072
TYXP073,TYXP073 - Pressure Array Data Point 073
TYXP074,TYXP074 - Pressure Array Data Point 074
TYXP075,TYXP075 - Pressure Array Data Point 075
TYXP076,TYXP076 - Pressure Array Data Point 076
TYXP077,TYXP077 - Pressure Array Data Point 077
TYXP078,TYXP078 - Pressure Array Data Point 078
TYXP079,TYXP079 - Pressure Array Data Point 079
TYXP080,TYXP080 - Pressure Array Data Point 080
TYXP081,TYXP081 - Pressure Array Data Point 081
TYXP082,TYXP082 - Pressure Array Data Point 082
TYXP083,TYXP083 - Pressure Array Data Point 083
TYXP084,TYXP084 - Pressure Array Data Point 084
TYXP085,TYXP085 - Pressure Array Data Point 085
TYXP086,TYXP086 - Pressure Array Data Point 086
TYXP087,TYXP087 - Pressure Array Data Point 087
TYXP088,TYXP088 - Pressure Array Data Point 088
TYXP089,TYXP089 - Pressure Array Data Point 089
TYXP090,TYXP090 - Pressure Array Data Point 090
TYXP091,TYXP091 - Pressure Array Data Point 091
TYXP092,TYXP092 - Pressure Array Data Point 092
TYXP093,TYXP093 - Pressure Array Data Point 093
TYXP094,TYXP094 - Pressure Array Data Point 094
TYXP095,TYXP095 - Pressure Array Data Point 095
TYXP096,TYXP096 - Pressure Array Data Point 096
TYXP097,TYXP097 - Pressure Array Data Point 097
TYXP098,TYXP098 - Pressure Array Data Point 098
TYXP099,TYXP099 - Pressure Array Data Point 099
TYXP100,TYXP100 - Pressure Array Data Point 100
TYXP101,TYXP101 - Pressure Array Data Point 101
TYXP102,TYXP102 - Pressure Array Data Point 102
TYXP103,TYXP103 - Pressure Array Data Point 103
TYXP104,TYXP104 - Pressure Array Data Point 104
TYXP105,TYXP105 - Pressure Array Data Point 105
TYXP106,TYXP106 - Pressure Array Data Point 106
TYXP107,TYXP107 - Pressure Array Data Point 107
TYXP108,TYXP108 - Pressure Array Data Point 108
TYXP109,TYXP109 - Pressure Array Data Point 109
TYXP110,TYXP110 - Pressure Array Data Point 110
TYXP111,TYXP111 - Pressure Array Data Point 111
TYXP112,TYXP112 - Pressure Array Data Point 112
